dm_sed reference,sgp_reference_id,sgp ref_short,sgp ref_long,sgp doi,sgp reference url,Added new samplenames?,Added new sitename?,Updated lithology?,notes
"Ball, T. T., & Farmer, G. L. (1998). Infilling history of a Neoproterozoic intracratonic basin: Nd isotope provenance studies of the Uinta Mountain Group, Western United States. Precambrian Research, 87(1-2), 1–18.https://doi.org/10.1016/s0301-9268(97)00051-x",731,"Ball & Farmer, 1998","Ball, T.T. & Farmer, G.L. (1998). Infilling history of a Neoproterozoic intracratonic basin: Nd isotope provenance studies of the Uinta Mountain Group, Western United States. Precambrian Research, 87, 1-18. https://doi.org/10.1016/S0301-9268(97)00051-X",10.1016/S0301-9268(97)00051-X,https://linkinghub.elsevier.com/retrieve/pii/S030192689700051X,TRUE,TRUE,,"Found sample names, created  site name based on publication."
"Bangert, B. (2000). Tephrostratigraphy, petrography, geochemistry, age and fossil record of the Ganigobis Shale Member and associated glaciomarine deposits of the Dwyka Group, Late Carboniferous, southern Africa. PhD Dissertation. Bayerischen Julius-Maximilians-Universität Würzburg. p. 243.",778,"Bangert, 2000","Bangert, B. (2000). Tephrostratigraphy, petrography, geochemistry, age and fossil record of the Ganigobis Shale Member and associated glaciomarine deposits of the Dwyka Group, Late Carboniferous, southern Africa. [Doctoral thesis, Bayerischen Julius-Maximilians-Universität Würzburg] https://opus.bibliothek.uni-wuerzburg.de/opus4-wuerzburg/files/179/bangert.pdf",,https://opus.bibliothek.uni-wuerzburg.de/opus4-wuerzburg/files/179/bangert.pdf,,,,Added sitename (and site description) from thesis
"Bernasconi, S. M. M. (1991). Geochemical and microbial controls on dolomite formation and organic matter production/preservation in anoxic environments: A case study from the Middle Triassic Grenzbitumenzone, Southern Alps (Ticino, Switzerland). ETH. PhD Dissertation. p. 206.",766,"Bernasconi, 1991","Bernasconi, S.M. (1991). Geochemical and microbial controls on dolomite formation and organic matter production/preservation in anoxic environments: A case study from the Middle Triassic Grenzbitumenzone, Southern Alps (Ticino, Switzerland). [Doctoral thesis, ETH] https://doi.org/10.3929/ethz-a-000611458",10.3929/ethz-a-000611458,,TRUE,,,Added samplename from table
"Bisnett, A. J. (2001). Petrography and geochemistry of Pennsylvanian black shales in offshore and nearshore stratigraphic settings in Midcontinent and Illinois Basins. PhD Dissertation. University of Iowa p. 495.",788,"Bisnett, 2001","Bisnett, A.J. (2001). Petrography and geochemistry of Pennsylvanian black shales in offshore and nearshore stratigraphic settings in Midcontinent and Illinois Basins. [Doctoral thesis, University of Iowa]",,,,,,
"Bolhar, R., Hofmann, A., Siahi, M., Feng, Y. X., & Delvigne, C. (2015). A trace element and Pb isotopic investigation into the provenance and deposition of stromatolitic carbonates, ironstones and associated shales of the∼ 3.0 Ga Pongola Supergroup, Kaapvaal Craton. Geochimica et Cosmochimica Acta, 158, 57-78.https://doi.org/10.1016/j.gca.2015.02.026",693,Bolhar et al. 2015,"Bolhar, R., Hofmann, A., Siahi, M., Feng, Y. & Delvigne, C. (2015). A trace element and Pb isotopic investigation into the provenance and deposition of stromatolitic carbonates, ironstones and associated shales of the ∼3.0 Ga Pongola Supergroup, Kaapvaal Craton. Geochimica et Cosmochimica Acta, 158, 57-78. https://doi.org/10.1016/j.gca.2015.02.026",10.1016/j.gca.2015.02.026,https://linkinghub.elsevier.com/retrieve/pii/S001670371500109X,TRUE,,TRUE,Added samplename from table. Updated lithtype from table.
"Brumsack, H.-J. J. (1989). Geochemistry of recent TOC-rich sediments from the Gulf of California and the Black Sea. Geologische Rundschau, 78(3), 1–32.https://doi.org/10.1007/bf01829327",661,"Brumsack, 1989","Brumsack, H. (1989). Geochemistry of recent TOC-rich sediments from the Gulf of California and the Black Sea. Geologische Rundschau, 78, 851-882. https://doi.org/10.1007/BF01829327",10.1007/BF01829327,http://link.springer.com/10.1007/BF01829327,,,,
"Cabral, A. R., R. A. Creaser, T. Nägler, B. Lehmann, A. R. Voegelin, B. Belyatsky, J. Pašava, et al. ""Trace-Element and Multi-Isotope Geochemistry of Late-Archean Black Shales in the Carajás Iron-Ore District, Brazil."" Chemical Geology 362 (2013): 91-104. https://doi.org/10.1016/j.chemgeo.2013.08.041.",680,Cabral et al. 2013,"Cabral, A.R., Creaser, R.A., Nägler, T., Lehmann, B., Voegelin, A.R., Belyatsky, B., Pašava, J., Seabra Gomes, A.A., Galbiatti, H., Böttcher, M.E. & Escher, P. (2013). Trace-element and multi-isotope geochemistry of Late-Archean black shales in the Carajás iron-ore district, Brazil. Chemical Geology, 362, 91-104. https://doi.org/10.1016/j.chemgeo.2013.08.041",10.1016/j.chemgeo.2013.08.041,https://linkinghub.elsevier.com/retrieve/pii/S0009254113003884,,,,
"Caplan, M. L., & Bustin, R. M. (1998). Palaeoceanographic controls on geochemical characteristics of organic-rich Exshaw mudrocks: role of enhanced primary production. Organic Geochemistry, 30, 161–188.https://doi.org/10.1016/s0146-6380(98)00202-2",729,"Caplan & Bustin, 1999","Caplan, M.L. & Bustin, R.M. (1999). Palaeoceanographic controls on geochemical characteristics of organic-rich Exshaw mudrocks: role of enhanced primary production. Organic Geochemistry, 30, 161-188. https://doi.org/10.1016/S0146-6380(98)00202-2",10.1016/S0146-6380(98)00202-2,https://linkinghub.elsevier.com/retrieve/pii/S0146638098002022,,,,
"Carmichael, Sarah K., Johnny A. Waters, Cameron J. Batchelor, Drew M. Coleman, Thomas J. Suttner, Erika Kido, L. M. Moore, and Leona Chadimová. ""Climate Instability and Tipping Points in the Late Devonian: Detection of the Hangenberg Event in an Open Oceanic Island Arc in the Central Asian Orogenic Belt."" Gondwana Research 32 (2016): 213-31. https://doi.org/10.1016/j.gr.2015.02.009.",695,Carmichael et al. 2016,"Carmichael, S.K., Waters, J.A., Batchelor, C.J., Coleman, D.M., Suttner, T.J., Kido, E., Moore, L.M. & Chadimová, L. (2016). Climate instability and tipping points in the Late Devonian: Detection of the Hangenberg Event in an open oceanic island arc in the Central Asian Orogenic Belt. Gondwana Research, 32, 213-231. https://doi.org/10.1016/j.gr.2015.02.009",10.1016/j.gr.2015.02.009,https://linkinghub.elsevier.com/retrieve/pii/S1342937X15000568,,TRUE,,"Added sitename 'Near boulanger reservoir"". Note that lat-long in related paper is N 46°45′11″; E 86°08′20″ for formation base."
"Carter, J. E. (1998). Structure, Stratigraphy, and Geochemistry of the Upper Ordovician Lawrence Harbour Formation, Exploits Subzone, Newfoundland. Masters Thesis. Memorial University of Newfoundland. p. 171.",803,"Carter, 1998","Carter, J.E. (1998). Structure, stratigraphy, and geochemistry of the Upper Ordovician Lawrence Harbour formation, Exploits Subzone, Newfoundland. [Master's thesis, Memorial University of Newfoundland] http://research.library.mun.ca/id/eprint/10728",,http://research.library.mun.ca/id/eprint/10728,,TRUE,,"Added locations from published table (Standardised central nfld and Central NF as ""Central Newfoundland"". Made no attempt to translate UTM which are in the table. A few samples are from Scotland, not Newfoundland - removed Newfoundland from the ""region"" for those samples, did not code geological context. Changed lat-long. Did not change paleolat, palaeolon."
"Chen, Ruiqian, and Shikha Sharma. ""Role of Alternating Redox Conditions in the Formation of Organic-Rich Interval in the Middle Devonian Marcellus Shale, Appalachian Basin, USA."" Palaeogeography, Palaeoclimatology, Palaeoecology 446 (2016): 85-97. https://doi.org/10.1016/j.palaeo.2016.01.016.",710,"Chen & Sharma, 2016","Chen, R. & Sharma, S. (2016). Role of alternating redox conditions in the formation of organic-rich interval in the Middle Devonian Marcellus Shale, Appalachian Basin, USA. Palaeogeography, Palaeoclimatology, Palaeoecology, 446, 85-97. https://doi.org/10.1016/j.palaeo.2016.01.016",10.1016/j.palaeo.2016.01.016,https://linkinghub.elsevier.com/retrieve/pii/S0031018216000171,,,,
"Chen, Lan, Hugh C. Jenkyns, Guiwen Xu, Emanuela Mattioli, Xuejuan Da, Haisheng Yi, Minquan Xia, Zhangxiong Zhu, and Zhaohui Huang. ""Preliminary Nannofossil and Geochemical Data from Jurassic Black Shales from the Qiangtang Basin, Northern Tibet."" Journal of Asian Earth Sciences 115 (2016): 257-67. https://doi.org/10.1016/j.jseaes.2015.10.004.",699,Chen et al. 2016,"Chen, L., Jenkyns, H.C., Xu, G., Mattioli, E., Da, X., Yi, H., Xia, M., Zhu, Z. & Huang, Z. (2016). Preliminary nannofossil and geochemical data from Jurassic black shales from the Qiangtang Basin, northern Tibet. Journal of Asian Earth Sciences, 115, 257-267. https://doi.org/10.1016/j.jseaes.2015.10.004",10.1016/j.jseaes.2015.10.004,https://linkinghub.elsevier.com/retrieve/pii/S1367912015301097,,,,
"Chen, Chao, Chuan-Long Mu, Ken-Ken Zhou, Wei Liang, Xiang-Ying Ge, Xiu-Ping Wang, Qi-Yu Wang, and Bin-Song Zheng. ""The Geochemical Characteristics and Factors Controlling the Organic Matter Accumulation of the Late Ordovician-Early Silurian Black Shale in the Upper Yangtze Basin, South China."" Marine and Petroleum Geology 76 (2016): 159-75. https://doi.org/10.1016/j.marpetgeo.2016.04.022.",704,Chen et al. 2016,"Chen, C., Mu, C., Zhou, K., Liang, W., Ge, X., Wang, X., Wang, Q. & Zheng, B. (2016). The geochemical characteristics and factors controlling the organic matter accumulation of the Late Ordovician-Early Silurian black shale in the Upper Yangtze Basin, South China. Marine and Petroleum Geology, 76, 159-175. https://doi.org/10.1016/j.marpetgeo.2016.04.022",10.1016/j.marpetgeo.2016.04.022,https://linkinghub.elsevier.com/retrieve/pii/S0264817216301313,,,,
"Condie, K. C. C., Noll, P. D., & Conway, C. M. (1992). Geochemical and detrital mode evidence for two sources of Early Proterozoic sedimentary rocks from the Tonto Basin Supergroup, central Arizona. Sedimentary Geology, 77(1-2), 51–76.https://doi.org/10.1016/0037-0738(93)90006-q",749,Condie et al. 1992,"Condie, K.C., Noll, P.D. & Conway, C.M. (1992). Geochemical and detrital mode evidence for two sources of Early Proterozoic sedimentary rocks from the Tonto Basin Supergroup, central Arizona. Sedimentary Geology, 77, 51-76. https://doi.org/10.1016/0037-0738(92)90103-X",10.1016/0037-0738(92)90103-X,https://linkinghub.elsevier.com/retrieve/pii/003707389290103X,TRUE,TRUE,,"Added sample numbers from table. Took region (""Tonto Basin"") as the sitename."
"Cullers, Robert L, and Victor N Podkovyrov. ""The Source and Origin of Terrigenous Sedimentary Rocks in the Mesoproterozoic Ui Group, Southeastern Russia."" Precambrian Research 117, no. 3-4 (2002): 157-83.https://doi.org/10.1016/s0301-9268(02)00079-7",730,"Cullers & Podkovyrov, 2002","Cullers, R.L. & Podkovyrov, V.N. (2002). The source and origin of terrigenous sedimentary rocks in the Mesoproterozoic Ui group, southeastern Russia. Precambrian Research, 117, 157-183. https://doi.org/10.1016/S0301-9268(02)00079-7",10.1016/S0301-9268(02)00079-7,https://linkinghub.elsevier.com/retrieve/pii/S0301926802000797,TRUE,TRUE,,Added sample numbers from the table. Took region as sitename.
"Davis, C., Pratt, L.M., Sliter, W.V., Mompart, L., Murat, B., 1999. Factors influencing organic carbon and trace metal accumulation in the Upper Cretaceous La Luna Formation of the western Maracaibo Basin, Venezuela. Geological Society of America Special Papers 332, 203-230.https://doi.org/10.1130/0-8137-2332-9.203",801,Davis et al. 1999,"Davis, C., Pratt, L.M., Sliter, W.V., Mompart, L. & Murat, B. (1999). Factors influencing organic carbon and trace metal accumulation in the Upper Cretaceous La Luna Formation of the western Maracaibo Basin, Venezuela. In: Barrera, E. & Johnson, C.C. (Eds.), Evolution of the Cretaceous Ocean-Climate System (pp. 203-230). Geological Society of America. https://doi.org/10.1130/0-8137-2332-9.203",10.1130/0-8137-2332-9.203,https://pubs.geoscienceworld.org/books/book/478/chapter/3800038,,,,
"de la Rue, Sarah Renee. ""Implications for an Anoxia-Related Control on Green Algal Distributions in the Late Devonian Frasnian /Famennian Boundary."" University of Idaho, 2010.",786,"de la Rue, 2010","de la Rue, S.R. (2010). Implications for an Anoxia-Related Control on Green Algal Distributions in the Late Devonian Frasnian/Famennian Boundary. [Doctoral thesis, University of Idaho] https://www.proquest.com/docview/608923045",https://www.proquest.com/docview/608923045,,,,,
"Paola Di Leo, Enrico Dinelli, Giovanni Mongelli, and Marcello Schiattarella. ""Geology and Geochemistry of Jurassic Pelagic Sediments, Scisti Silicei Formation, Southern Apennines, Italy."" Sedimentary Geology Vol.150, no. No.3-4 (2002): 229-46. https://doi.org/10.1016/s0037-0738(01)00181-6.",727,Di Leo et al. 2002,"Di Leo, P., Dinelli, E., Mongelli, G. & Schiattarella, M. (2002). Geology and geochemistry of Jurassic pelagic sediments, Scisti silicei Formation, southern Apennines, Italy. Sedimentary Geology, 150, 229-246. https://doi.org/10.1016/S0037-0738(01)00181-6",10.1016/S0037-0738(01)00181-6,https://linkinghub.elsevier.com/retrieve/pii/S0037073801001816,,TRUE,,Sitename added  based on description in publication.
"Dong, Tian. ""Geochemical, Petrophysical and Geomechanical Properties of Stratigraphic Sequences in Horn River Shale, Middle and Upper Devonian, Northeastern British Columbia, Canada."" University of Alberta, 2017.https://doi.org/10.7939/R3CZ32G43",767,"Dong, 2016","Dong, T. (2016). Geochemical, petrophysical and geomechanical properties of stratigraphic sequences in Horn River Shale, Middle and Upper Devonian, Northeastern British Columbia, Canada. [Doctoral thesis, University of Alberta] https://doi.org/10.7939/R3CZ32G43",10.7939/R3CZ32G43,https://era.library.ualberta.ca/items/ea54fbcf-34f5-439c-86c7-ff74b0714be7,TRUE,,,Added samplename as sitename + height
"Dypvik, H., & Zakharov, V. (2012). Fine-grained epicontinental Arctic sedimentation – mineralogy and geochemistry of shales from the Late Jurassic-Early Cretaceous transition. Norwegian Journal of Geology, 92, 65–87.",750,"Dypvik & Zakharov, 2012","Dypvik, H. & Zakharov, V. (2012). Fine-grained epicontinental Arctic sedimentation – mineralogy and geochemistry of shales from the Late Jurassic-Early Cretaceous transition Henning Dypvik & Victor Zakharov. Norwegian Journal of Geology, 92, 65-87.",,,,TRUE,,Added sitename from Region - corrected region for some samples (Svalbard and North Greenland were mixed up). Corrected lat-long. Corrected country.
"Eroglu, S., Schoenberg, R., Wille, M., Beukes, N., & Taubald, H. (2015). Geochemical stratigraphy, sedimentology, and Mo isotope systematics of the ca. 2.58–2.50Ga-old Transvaal Supergroup carbonate platform, South Africa. Precambrian Research, 266, 27–46.https://doi.org/10.1016/j.precamres.2015.04.014",722,Eroglu et al. 2015,"Eroglu, S., Schoenberg, R., Wille, M., Beukes, N.J. & Taubald, H. (2015). Geochemical stratigraphy, sedimentology, and Mo isotope systematics of the ca. 2.58–2.50 Ga-old Transvaal Supergroup carbonate platform, South Africa. Precambrian Research, 266, 27-46. https://doi.org/10.1016/j.precamres.2015.04.014",10.1016/j.precamres.2015.04.014,https://linkinghub.elsevier.com/retrieve/pii/S0301926815001266,TRUE,,,Added samplename as sitename + height
"Fleurance, Stéphanie, Michel Cuney, Fabrice Malartre, and Jean Reyx. ""Origin of the Extreme Polymetallic Enrichment (Cd, Cr, Mo, Ni, U, V, Zn) of the Late Cretaceous–Early Tertiary Belqa Group, Central Jordan."" Palaeogeography, Palaeoclimatology, Palaeoecology 369 (2013): 201-19. https://doi.org/10.1016/j.palaeo.2012.10.020.",706,Fleurance et al. 2013,"Fleurance, S., Cuney, M., Malartre, F. & Reyx, J. (2013). Origin of the extreme polymetallic enrichment (Cd, Cr, Mo, Ni, U, V, Zn) of the Late Cretaceous–Early Tertiary Belqa Group, central Jordan. Palaeogeography, Palaeoclimatology, Palaeoecology, 369, 201-219. https://doi.org/10.1016/j.palaeo.2012.10.020",10.1016/j.palaeo.2012.10.020,https://linkinghub.elsevier.com/retrieve/pii/S0031018212005883,,TRUE,,Added sitename from Region (central Jordan)
"Fraser, K. H. A. (2005). The Sedimentology and Geochemistry ofthe Second White Specks Formation, North/Central Alberta, Canada. Masters Thesis. University of Alberta. p. 602.",802,"Fraser, 2005","Fraser, K.H. (2005). The sedimentology and geochemistry of the Second White Specks Formation, north/central Alberta, Canada. [Master's thesis, University of Alberta] https://doi.org/10.7939/r3-cadd-zv88",10.7939/r3-cadd-zv88,,,,,
"Frimmel, H. E., Tack, L., Basei, M. S., Nutman, A. P., & Boven, A. (2006). Provenance and chemostratigraphy of the Neoproterozoic West Congolian Group in the Democratic Republic of Congo. Journal of African Earth Sciences, 46(3), 221–239.https://doi.org/10.1016/j.jafrearsci.2006.04.010",696,Frimmel et al. 2006,"Frimmel, H.E., Tack, L., Basei, M.S., Nutman, A.P. & Boven, A. (2006). Provenance and chemostratigraphy of the Neoproterozoic West Congolian Group in the Democratic Republic of Congo. Journal of African Earth Sciences, 46, 221-239. https://doi.org/10.1016/j.jafrearsci.2006.04.010",10.1016/j.jafrearsci.2006.04.010,https://linkinghub.elsevier.com/retrieve/pii/S1464343X0600118X,TRUE,TRUE,,"Sample names added from published table, sitename from the region (just used West Congo Belt) Note carbonate data in this paper which was not added."
"Fu, Xiugen, Fuwen Tan, Xinglei Feng, Dong Wang, Wenbin Chen, Chunyan Song, and Shengqiang Zeng. ""Early Jurassic Anoxic Conditions and Organic Accumulation in the Eastern Tethys."" International Geology Review 56, no. 12 (2014): 1450-65. https://doi.org/10.1080/00206814.2014.945103.",735,Fu et al. 2014,"Fu, X., Tan, F., Feng, X., Wang, D., Chen, W., Song, C. & Zeng, S. (2014). Early Jurassic anoxic conditions and organic accumulation in the eastern Tethys. International Geology Review, 56, 1450-1465. https://doi.org/10.1080/00206814.2014.945103",10.1080/00206814.2014.945103,https://www.tandfonline.com/doi/full/10.1080/00206814.2014.945103,,,,
"Fu, Xiugen, Jian Wang, Yuhong Zeng, Fuwen Tan, and Xinglei Feng. ""Trace Elements and Their Behaviour During the Combustion of Marine Oil Shale from Changliang Mountain, Northern Tibet, China."" Environmental Earth Sciences 70, no. 3 (2012): 1125-34. https://doi.org/10.1007/s12665-012-2199-5.",735,Fu et al. 2014,"Fu, X., Tan, F., Feng, X., Wang, D., Chen, W., Song, C. & Zeng, S. (2014). Early Jurassic anoxic conditions and organic accumulation in the eastern Tethys. International Geology Review, 56, 1450-1465. https://doi.org/10.1080/00206814.2014.945103",10.1080/00206814.2014.945103,https://www.tandfonline.com/doi/full/10.1080/00206814.2014.945103,,,,
"Fu, Xiugen, Jian Wang, Xinglei Feng, Wenbin Chen, Dong Wang, Chunyan Song, and Shengqiang Zeng. ""Mineralogical Composition of and Trace-Element Accumulation in Lower Toarcian Anoxic Sediments: A Case Study from the Bilong Co. Oil Shale, Eastern Tethys."" Geological Magazine 153, no. 4 (2015): 618-34. https://doi.org/10.1017/s0016756815000758.",735,Fu et al. 2014,"Fu, X., Tan, F., Feng, X., Wang, D., Chen, W., Song, C. & Zeng, S. (2014). Early Jurassic anoxic conditions and organic accumulation in the eastern Tethys. International Geology Review, 56, 1450-1465. https://doi.org/10.1080/00206814.2014.945103",10.1080/00206814.2014.945103,https://www.tandfonline.com/doi/full/10.1080/00206814.2014.945103,,,,
"Fujisaki, Wataru, Yusuke Sawaki, Shinji Yamamoto, Tomohiko Sato, Manabu Nishizawa, Brian F. Windley, and Shigenori Maruyama. ""Tracking the Redox History and Nitrogen Cycle in the Pelagic Panthalassic Deep Ocean in the Middle Triassic to Early Jurassic: Insights from Redox-Sensitive Elements and Nitrogen Isotopes."" Palaeogeography, Palaeoclimatology, Palaeoecology 449 (2016): 397-420. https://doi.org/10.1016/j.palaeo.2016.01.039.",712,Fujisaki et al. 2016,"Fujisaki, W., Sawaki, Y., Yamamoto, S., Sato, T., Nishizawa, M., Windley, B.F. & Maruyama, S. (2016). Tracking the redox history and nitrogen cycle in the pelagic Panthalassic deep ocean in the Middle Triassic to Early Jurassic: Insights from redox-sensitive elements and nitrogen isotopes. Palaeogeography, Palaeoclimatology, Palaeoecology, 449, 397-420. https://doi.org/10.1016/j.palaeo.2016.01.039",10.1016/j.palaeo.2016.01.039,https://linkinghub.elsevier.com/retrieve/pii/S003101821600047X,,,,
